scope_key,http_method,endpoint_path,operation_title,doc_url
mall.read_store,GET,/api/v2/admin/activitylogs,Retrieve a list of action logs,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/activitylogs/{process_no},Retrieve an action log,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/automessages/arguments,Retrieve the list of available variables for automated messages,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/automessages/setting,Retrieve the automated message settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/automessages/setting,Update an automated message,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/benefits/setting,Retrieve incentive settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/benefits/setting,Update incentive settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/boards/setting,Retrieve board settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/boards/setting,Update board settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/carts/setting,Retrieve carts settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,PUT,/api/v2/admin/carts/setting,Update carts settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/categories/properties/setting,Retrieve additional settings for products in the list,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/categories/properties/setting,Update additional settings for products in the list,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/coupons/setting,Retrieve coupon settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/coupons/setting,Update coupon settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/currency,Retrieve currency settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/currency,Update a currency,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/customers/setting,Retrieve member-related settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/customers/setting,Update customers setting,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/dashboard,Retrieve a dashboard,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/dormantaccount,Retrieve account deactivation settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/dormantaccount,Update account deactivation settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/financials/paymentgateway,Retrieve a list of Payment Gateway contract details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/financials/store,Retrieve the transaction information of a store,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/images/setting,Retrieve product image size settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/images/setting,Update product image size settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/information,Retrieve store policies,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/information,Update store policies,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/kakaoalimtalk/profile,Retrieve a Kakao Channel sender profile key,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/kakaoalimtalk/setting,Retrieve the Kakao Info-talk settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/kakaoalimtalk/setting,Update the Kakao Info-talk settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/kakaopay/setting,Retrieve settings for KakaoPay orders,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/kakaopay/setting,Update settings for KakaoPay orders,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/mains/properties/setting,Retrieve additional settings for products on the main screen,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/mains/properties/setting,Update additional settings for products on the main screen,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/menus,Retrieve menus,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/mobile/setting,Retrieve mobile settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/mobile/setting,Update mobile settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/naverpay/setting,Retrieve Naver Pay settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,POST,/api/v2/admin/naverpay/setting,Create Naver Pay settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/naverpay/setting,Update Naver Pay settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/orderform/setting,Retrieve the order/order form settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/orderform/setting,Update the order/order form settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/orders/setting,Retrieve Order Settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/orders/setting,Update Order settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/orders/status,Retrieve order status displayed,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/orders/status,Update order status displayed,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/payment/setting,Retrieve payment settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/payment/setting,Update payment settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,POST,/api/v2/admin/paymentgateway,Create a Payment Gateway,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/paymentgateway/{client_id},Update a Payment Gateway,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,DELETE,/api/v2/admin/paymentgateway/{client_id},Delete a Payment Gateway,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/paymentgateway/{client_id}/paymentmethods,Retrieve a list of Payment Gateway methods,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,POST,/api/v2/admin/paymentgateway/{client_id}/paymentmethods,Create a Payment Gateway method,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/paymentgateway/{client_id}/paymentmethods/{payment_method_code},Update a payment method of a Payment Gateway,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,DELETE,/api/v2/admin/paymentgateway/{client_id}/paymentmethods/{payment_method_code},Delete a payment method of a Payment Gateway,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/paymentmethods,Retrieve a list of payment methods,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/paymentmethods/{code}/paymentproviders,Retrieve a list of providers by payment method,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/paymentmethods/{code}/paymentproviders/{name},Update the display status of a payment method,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/paymentservices,Retrieve a list of PG settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/points/setting,Retrieve points settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/points/setting,Update points settings,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/policy,Retrieve a store profile,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/policy,Update a store profile,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/privacy/boards,Retrieve privacy policy for posting on board,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/privacy/boards,Update privacy policy for posting on board,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/privacy/join,Retrieve privacy policy for signup,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/privacy/join,Update privacy policy for signup,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/privacy/orders,Retrieve privacy policy for checkout,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/privacy/orders,Update privacy policy for checkout,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/products/display/setting,List all products display setting,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/products/display/setting,Update a products display setting,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.read_store,GET,/api/v2/admin/products/properties/setting,Retrieve additional settings for product details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
mall.write_store,PUT,/api/v2/admin/products/properties/setting,Update additional settings for product details,https://developers.cafe24.com/docs/ko/api/admin/#retrieve-a-list-of-product-category-translations
