event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 54.255.213.235 | 9c87d42e8e633e5f | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/37c3047,2d11a482-99c3-4cd8-89bb-bcde7e8bc05f,grfkmbrhbvcyahflqttl,GET,/auth/v1/health,null,200,1770183579944000
HEAD | 200 | 54.255.213.235 | 9c87d42e7ad09c41 | https://grfkmbrhbvcyahflqttl.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/37c3047,7bc8207a-8014-47b0-92b6-7d34a4c2073c,grfkmbrhbvcyahflqttl,HEAD,/rest-admin/v1/ready,null,200,1770183579943000
GET | 200 | 211.246.68.200 | 9c87d3ecfce83058 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/E_ops_review_queue_items?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50 | node,4b0923ba-4636-4848-8faa-77faab2025c0,grfkmbrhbvcyahflqttl,GET,/rest/v1/E_ops_review_queue_items,?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50,200,1770183569444000
GET | 200 | 211.246.68.200 | 9c87d3eb7b8ad5ad | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_user_access_maps?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,f48a0582-970c-4224-80c3-8e909c971617,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_user_access_maps,?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770183569204000
GET | 200 | 211.246.68.200 | 9c87d3eb4b073058 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_user_access_maps?select=plan%2Cis_admin%2Corg_role%2Corg_id&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,7f88e184-5de7-4ae6-893f-93848034c1b1,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_user_access_maps,?select=plan%2Cis_admin%2Corg_role%2Corg_id&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770183569170000
GET | 200 | 211.246.68.200 | 9c87d3e9ebc6e879 | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/user | node,3becea9e-d288-45c9-811b-cae7f0f610c8,grfkmbrhbvcyahflqttl,GET,/auth/v1/user,null,200,1770183568959000
GET | 200 | 211.246.68.200 | 9c87d3e9cde3d5ad | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/user | node,7a158be9-a51c-4daf-a54d-76a2b8c8c35e,grfkmbrhbvcyahflqttl,GET,/auth/v1/user,null,200,1770183568932000
GET | 200 | 211.246.68.200 | 9c87d3e7ffbf3058 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/E_ops_review_queue_items?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50 | node,c883fcb3-ba6e-4b66-b6c3-cbbd479c6987,grfkmbrhbvcyahflqttl,GET,/rest/v1/E_ops_review_queue_items,?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50,200,1770183568645000
GET | 200 | 211.246.68.200 | 9c87d3e66e363058 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_user_access_maps?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,5f92704b-c916-4d86-95ce-ed16800b5bd6,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_user_access_maps,?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770183568395000
GET | 200 | 211.246.68.200 | 9c87d3e52832d5ad | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/E_ops_review_queue_items?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50 | node,9c5111c8-a6e9-4a9d-a4a1-251657d3ad2b,grfkmbrhbvcyahflqttl,GET,/rest/v1/E_ops_review_queue_items,?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50,200,1770183568190000
GET | 200 | 211.246.68.200 | 9c87d3e50c8c3058 | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/user | node,ba3bda04-34f3-46d4-b61f-124829b4776e,grfkmbrhbvcyahflqttl,GET,/auth/v1/user,null,200,1770183568173000
