event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 14.36.150.116 | 9c82cb7db990d1e3 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/E_ops_review_queue_items?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50 | node,c08ece1b-af86-47d7-9403-e3a31e435c7b,grfkmbrhbvcyahflqttl,GET,/rest/v1/E_ops_review_queue_items,?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=50,200,1770130795163000
GET | 200 | 14.36.150.116 | 9c82cb7da85f9d6e | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/E_ops_review_queue_items?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=1 | node,bbb60107-0c05-4269-afa9-6fbf4e749f0d,grfkmbrhbvcyahflqttl,GET,/rest/v1/E_ops_review_queue_items,?select=*%2CD_conv_sessions%21inner%28id%2Corg_id%29&D_conv_sessions.org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&order=created_at.desc&offset=0&limit=1,200,1770130795150000
GET | 200 | 14.36.150.116 | 9c82cb7cba94580b | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_user_access_maps?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,9479d8f8-2bf8-4f6f-bd70-961ab93e9a69,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_user_access_maps,?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770130794999000
GET | 200 | 14.36.150.116 | 9c82cb7caebbd1e3 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_user_access_maps?select=plan%2Cis_admin%2Corg_role%2Corg_id&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,379c600f-305b-46aa-88c1-decc462885ef,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_user_access_maps,?select=plan%2Cis_admin%2Corg_role%2Corg_id&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770130794995000
GET | 200 | 14.36.150.116 | 9c82cb7cad499d6e | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/A_iam_user_access_maps?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126 | node,f87ea7ff-8773-47ad-ac39-6eb253604702,grfkmbrhbvcyahflqttl,GET,/rest/v1/A_iam_user_access_maps,?select=org_id%2Corg_role&user_id=eq.fa7baaa2-806f-4457-88f0-7d29f802d126,200,1770130794989000
GET | 200 | 14.36.150.116 | 9c82cb7baf81580b | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/user | node,8c32738a-386a-4e4a-9128-58590fc5c63f,grfkmbrhbvcyahflqttl,GET,/auth/v1/user,null,200,1770130794829000
GET | 200 | 14.36.150.116 | 9c82cb7bac2ad1e3 | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/user | node,a7452b2c-03dd-4aba-86ee-b560a1e5dc3d,grfkmbrhbvcyahflqttl,GET,/auth/v1/user,null,200,1770130794828000
GET | 200 | 14.36.150.116 | 9c82cb7b9a1f9d6e | https://grfkmbrhbvcyahflqttl.supabase.co/auth/v1/user | node,bb3127a3-1658-4972-a484-7a6cd88c787a,grfkmbrhbvcyahflqttl,GET,/auth/v1/user,null,200,1770130794823000
GET | 200 | 14.36.150.116 | 9c82cb105a51e9f7 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_mcp_tools?select=id%2Ctool_name%2Ctool_version%2Cstatus%2Crequest_payload%2Cresponse_payload%2Cpolicy_decision%2Clatency_ms%2Ccreated_at%2Csession_id%2Cturn_id&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=created_at.desc&limit=30 | node,0b514974-ecf0-49af-8441-120f13fe3e75,grfkmbrhbvcyahflqttl,GET,/rest/v1/F_audit_mcp_tools,?select=id%2Ctool_name%2Ctool_version%2Cstatus%2Crequest_payload%2Cresponse_payload%2Cpolicy_decision%2Clatency_ms%2Ccreated_at%2Csession_id%2Cturn_id&org_id=eq.8ad81b6b-3210-40dd-8e00-9a43a4395923&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=created_at.desc&limit=30,200,1770130777663000
GET | 200 | 14.36.150.116 | 9c82cb104e3ceaa9 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_turn_specs_view?select=id%2Csession_id%2Cturn_id%2Cseq%2Cprefix_json%2Cprefix_tree%2Ccreated_at&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=created_at.desc&limit=30 | node,e09442c9-dd48-41a9-9242-f2fcdd7c8afc,grfkmbrhbvcyahflqttl,GET,/rest/v1/F_audit_turn_specs_view,?select=id%2Csession_id%2Cturn_id%2Cseq%2Cprefix_json%2Cprefix_tree%2Ccreated_at&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=created_at.desc&limit=30,200,1770130777650000
GET | 200 | 14.36.150.116 | 9c82cb104d23aa56 | https://grfkmbrhbvcyahflqttl.supabase.co/rest/v1/F_audit_events?select=id%2Cevent_type%2Cpayload%2Ccreated_at%2Csession_id%2Cturn_id&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=created_at.desc&limit=30 | node,2529bf84-d5d4-47b4-8351-2a39a13ae872,grfkmbrhbvcyahflqttl,GET,/rest/v1/F_audit_events,?select=id%2Cevent_type%2Cpayload%2Ccreated_at%2Csession_id%2Cturn_id&session_id=eq.3482461e-e3b4-4632-8117-dfa6d1563db8&order=created_at.desc&limit=30,200,1770130777649000
